"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"37","161.03325005713782","132.07672076774546","0.0078125","0.010498046875","0.005126953125","1560","0.0003275707203015611","24","0.0003275707203015611","0","0.0003275707203015611","0.0003275707203015611","45:0.0021343553392302317;25:0.002221434108047704","45:68;25:68","45:0.0021854089273841137;25:0.001656725261234393","0.0078125","Yes"
"38","111.54235004050274","86.83593501211827","0.010009765625","0.01416015625","0.005859375","1560","0.0006677013664485144","24","0.0006677013664485144","0","0.0006677013664485144","0.0006677013664485144","29:0.00347854765647862;49:0.003814304114868494","29:68;49:68","29:0.002860080860256742;49:0.0038485194473551754","0.010009765625","Yes"
"39","132.71326702438608","162.94134838817484","0.0157470703125","0.0205078125","0.010986328125","1560","0.0005239659337619243","24","0.0005239659337619243","0","0.0005239659337619243","0.0005239659337619243","53:0.0023543055983616668;33:0.0017489082784664656","53:68;33:68","53:0.0023319729449718385;33:0.0020442805874569536","0.0157470703125","Yes"
"40","153.6577178906352","209.59251140924434","0.01806640625","0.019287109375","0.016845703125","1560","0.00025206872607072734","24","0.00025206872607072734","0","0.00025206872607072734","0.00025206872607072734","41:0.0016984524380827815","41:68","41:0.0018002940818229451","0.01806640625","Yes"
"41","234.26892331862754","201.98107233330788","0.0809326171875","0.09326171875","0.068603515625","1560","0.00016939420322552182","24","0.00016939420322552182","0","0.00016939420322552182","0.00016939420322552182","40:0.0016984524380827815;42:0.002254348485569796;36:0.0017376645079355824","40:68;42:68;36:68","40:0.0018002940818229451;42:0.002193103784435907;36:0.0022064041304526993","0.0809326171875","Yes"
"42","156.76885265129158","40.79485147394133","0.0108642578125","0.01220703125","0.009521484375","1560","0.00026008260516341305","24","0.00026008260516341305","0","0.00026008260516341305","0.00026008260516341305","41:0.002254348485569796;43:0.005510606672520013","41:68;43:68","41:0.002193103784435907;43:0.00641388099338186","0.0108642578125","Yes"
"43","145.74495000158143","85.851380277091","0.1041259765625","0.08740234375","0.120849609375","1560","0.0003915799646456567","24","0.0003915799646456567","0","0.0003915799646456567","0.0003915799646456567","42:0.005510606672520013;56:0.004880734575479606;44:0.024178868890540106","42:68;56:68;44:68","42:0.00641388099338186;56:0.007360401043531556;44:0.02756228516652154","0.1041259765625","Yes"
"44","173.84692523549253","164.05855959809622","0.005126953125","0.0087890625","0.00146484375","1560","0.00044445352439675007","24","0.00044445352439675007","0","0.00044445352439675007","0.00044445352439675007","45:0.0023236290222173606;43:0.024178868890540106","45:68;43:68","45:0.002525215399199282;43:0.02756228516652154","0.005126953125","Yes"
"45","215.42763270295302","205.52593345354887","0.047607421875","0.037841796875","0.057373046875","1560","0.0002762995149980732","24","0.0002762995149980732","0","0.0002762995149980732","0.0002762995149980732","44:0.0023236290222173606;46:0.0030584273576249044;37:0.0021343553392302317","44:68;46:68;37:68","44:0.002525215399199282;46:0.0031104590420504286;37:0.0021854089273841137","0.047607421875","Yes"
"46","138.11406986834982","13.415784597610726","0.0064697265625","0.01025390625","0.002685546875","1560","0.00039689644583101695","24","0.00039689644583101695","0","0.00039689644583101695","0.00039689644583101695","45:0.0030584273576249044;47:0.0024914943671861534","45:68;47:68","45:0.0031104590420504286;47:0.002844116215529796","0.0064697265625","Yes"
